ID,Condition,ConditionType,RT_Mu,RT_Sigma
11,Local Incongruent,Critical,417.8095238095238,134.49129591092165
11,Local Multiple Absent,Control,689.7532467532468,317.43872827118173
11,Local Multiple Incongruent,Control,477.65714285714284,198.0578809934169
12,Global All Random,Control,581.1547619047619,384.1049208458737
12,Global Congruent at 2,Critical,370.0816326530612,426.0843139632523
12,Global Congruent at 6,Critical,381.5238095238095,293.6613773825391
12,Global Incongruent,Critical,287.0785714285714,247.91223405976893
12,Global Multiple Absent,Control,574.974025974026,345.6499588504461
12,Global Multiple Incongruent,Control,420.7142857142857,393.22241118946175
12,Local All Random,Control,559.1038961038961,290.4692928972004
12,Local Congruent at 2,Critical,382.9214285714286,352.1265523785885
12,Local Congruent at 6,Critical,364.46938775510205,176.2678265005036
12,Local Incongruent,Critical,386.9357142857143,267.7085070715515
12,Local Multiple Absent,Control,568.9166666666666,245.44074976781332
12,Local Multiple Incongruent,Control,425.2142857142857,331.23575792657493
13,Global All Random,Control,538.0142857142857,207.18873933204995
13,Global Congruent at 2,Critical,391.5194805194805,198.4556788826516
13,Global Congruent at 6,Critical,355.72857142857146,133.75952022096618
13,Global Incongruent,Critical,410.6258503401361,206.22521306878343
13,Global Multiple Absent,Control,584.3571428571429,213.07024328007083
13,Global Multiple Incongruent,Control,448.45714285714286,186.14445736097323
13,Local All Random,Control,735.2142857142857,406.5925722310475
13,Local Congruent at 2,Critical,488.6753246753247,318.49976930490783
13,Local Congruent at 6,Critical,433.8831168831169,198.60750362816378
13,Local Incongruent,Critical,388.9642857142857,201.0692786837944
13,Local Multiple Absent,Control,575.2727272727273,262.655048763865
13,Local Multiple Incongruent,Control,421.72857142857146,185.84705582104309
14,Global All Random,Control,525.0285714285715,225.30005573428437
14,Global Congruent at 2,Critical,356.4935064935065,330.3778634189908
14,Global Congruent at 6,Critical,293.0748299319728,179.04109455711725
14,Global Incongruent,Critical,290.53061224489795,214.11078639571724
14,Global Multiple Absent,Control,576.6883116883117,248.85571066384398
14,Global Multiple Incongruent,Control,447.25714285714287,267.67862440384164
14,Local All Random,Control,630.547619047619,336.94811744493313
14,Local Congruent at 2,Critical,368.8843537414966,178.3676178073951
14,Local Congruent at 6,Critical,405.734693877551,229.4921828892406
14,Local Incongruent,Critical,333.8775510204082,180.72736971423126
14,Local Multiple Absent,Control,703.0285714285715,383.24597510308206
14,Local Multiple Incongruent,Control,506.45714285714286,181.1720845594113
15,Global All Random,Control,403.2077922077922,132.262730723672
15,Global Congruent at 2,Critical,293.4013605442177,191.85670522710953
15,Global Congruent at 6,Critical,290.22727272727275,161.49920668889
15,Global Incongruent,Critical,277.5785714285714,107.39606438518366
15,Global Multiple Absent,Control,427.3142857142857,153.12498852833016
15,Global Multiple Incongruent,Control,328.6623376623377,230.40231463507538
15,Local All Random,Control,494.2987012987013,122.96277409883308
15,Local Congruent at 2,Critical,353.6326530612245,113.77856899298364
15,Local Congruent at 6,Critical,374.9627329192547,141.72380217339807
15,Local Incongruent,Critical,367.92857142857144,178.72617385533124
15,Local Multiple Absent,Control,443.77142857142854,110.7366861730848
15,Local Multiple Incongruent,Control,370.4142857142857,114.03133218767942
16,Global All Random,Control,461.5064935064935,124.78598767665164
16,Global Congruent at 2,Critical,343.3181818181818,135.39850186683645
16,Global Congruent at 6,Critical,375.63945578231295,230.34652114247683
16,Global Incongruent,Critical,358.08843537414964,154.3190044658013
16,Global Multiple Absent,Control,538.4857142857143,308.60211909334436
16,Global Multiple Incongruent,Control,413.5571428571429,175.206597363896
16,Local All Random,Control,572.3285714285714,289.0282430123381
16,Local Congruent at 2,Critical,362.2857142857143,134.50457037608348
16,Local Congruent at 6,Critical,353.94557823129253,129.25284673015247
16,Local Incongruent,Critical,406.2040816326531,139.9411294411102
16,Local Multiple Absent,Control,511.02597402597405,221.4524407790515
16,Local Multiple Incongruent,Control,479.8181818181818,196.83246464634837
17,Global All Random,Control,575.3452380952381,265.19869768564
17,Global Congruent at 2,Critical,378.82312925170066,226.71038493958716
17,Global Congruent at 6,Critical,420.45,242.1093850236846
17,Global Incongruent,Critical,392.9214285714286,192.2228573183802
17,Global Multiple Absent,Control,602.4285714285714,315.0379020042638
17,Global Multiple Incongruent,Control,459.8095238095238,254.6062623422034
17,Local All Random,Control,641.1818181818181,282.25808119859715
17,Local Congruent at 2,Critical,488.3741496598639,286.02950826996073
17,Local Congruent at 6,Critical,435.95238095238096,175.44129617004796
17,Local Incongruent,Critical,453.5646258503401,209.47007724409406
17,Local Multiple Absent,Control,584.2571428571429,293.7673675760941
17,Local Multiple Incongruent,Control,645.1714285714286,450.63417379525544
18,Global All Random,Control,561.7,264.9038299655835
18,Global Congruent at 2,Critical,386,139.59690169924536
18,Global Congruent at 6,Critical,459.0745341614907,310.8622796511952
18,Global Incongruent,Critical,418.31972789115645,243.7018441758699
18,Global Multiple Absent,Control,483.3,146.853505827791
18,Global Multiple Incongruent,Control,545.2987012987013,403.2770063046995
18,Local All Random,Control,556.8051948051948,144.99201783483397
18,Local Congruent at 2,Critical,426.67857142857144,101.40809127659276
18,Local Congruent at 6,Critical,459.74285714285713,210.4393270761604
18,Local Incongruent,Critical,515.5776397515529,351.47778449980933
18,Local Multiple Absent,Control,579.9090909090909,289.5934619526857
18,Local Multiple Incongruent,Control,465.04285714285714,153.75148739370425
19,Global All Random,Control,572.5357142857143,141.8173308718939
19,Global Congruent at 2,Critical,414.49285714285713,115.18883441771524
19,Global Congruent at 6,Critical,451.9714285714286,227.3957012196939
19,Global Incongruent,Critical,455.7857142857143,161.93454516800148
19,Global Multiple Absent,Control,558.5142857142857,116.7622063702075
19,Global Multiple Incongruent,Control,496.62857142857143,181.0841082047412
19,Local All Random,Control,684.8311688311688,376.7638658293394
19,Local Congruent at 2,Critical,486.4761904761905,119.64057664483516
19,Local Congruent at 6,Critical,432.5170068027211,97.1573609716701
19,Local Incongruent,Critical,473.4829931972789,125.11552764038855
19,Local Multiple Absent,Control,610.1428571428571,201.43862290283977
19,Local Multiple Incongruent,Control,605.5454545454545,296.7546632212216
20,Global All Random,Control,529.1714285714286,171.25910291503615
20,Global Congruent at 2,Critical,362.85,77.49605931034877
20,Global Congruent at 6,Critical,386.36054421768705,174.63852866092432
20,Global Incongruent,Critical,374.9357142857143,173.78400596632002
20,Global Multiple Absent,Control,490.01428571428573,140.78954309583713
20,Global Multiple Incongruent,Control,474.1142857142857,151.84465200883864
20,Local All Random,Control,605.5571428571428,207.25637947310122
20,Local Congruent at 2,Critical,448.15646258503403,172.2754524480145
20,Local Congruent at 6,Critical,495.6530612244898,345.1669171963995
20,Local Incongruent,Critical,476.5,258.9813945925422
20,Local Multiple Absent,Control,629.3809523809524,297.32830034666034
20,Local Multiple Incongruent,Control,556.032967032967,243.3788291052746
21,Global All Random,Control,483.8285714285714,270.5409487839948
21,Global Congruent at 2,Critical,286.1020408163265,261.93324295119515
21,Global Congruent at 6,Critical,265.22857142857146,149.23812958384835
21,Global Incongruent,Critical,262.38775510204084,214.00990403978435
21,Global Multiple Absent,Control,469.7857142857143,266.73652488177197
21,Global Multiple Incongruent,Control,359.8051948051948,269.4627715210708
21,Local All Random,Control,557.038961038961,370.18666847240166
21,Local Congruent at 2,Critical,371.53246753246754,275.6719460060935
21,Local Congruent at 6,Critical,384.0974025974026,379.315805954358
21,Local Incongruent,Critical,363.1714285714286,218.42407906293496
21,Local Multiple Absent,Control,607.922077922078,484.4617948717549
21,Local Multiple Incongruent,Control,472.5194805194805,369.2780157347439
22,Global All Random,Control,581.0595238095239,194.0944591296484
22,Global Congruent at 2,Critical,339.86394557823127,144.20512594463952
22,Global Congruent at 6,Critical,346.53061224489795,171.42622144508016
22,Global Incongruent,Critical,357.04285714285714,197.1396857662308
22,Global Multiple Absent,Control,540.4714285714285,169.58677155039578
22,Global Multiple Incongruent,Control,410.9,131.15353874233696
22,Local All Random,Control,564.1428571428571,161.1531594221422
22,Local Congruent at 2,Critical,391.34285714285716,189.97590803063892
22,Local Congruent at 6,Critical,368.73571428571427,123.38030407945153
22,Local Incongruent,Critical,387.578231292517,163.4095168826135
