ID,Condition,RunPosition,RT,Globality,RunType,StimuliType
13,Local Incongruent at 6,5,269,Local,Incongruent at 6,Congruent Stimuli with Target
15,Global Congruent,5,269,Global,Congruent,Congruent Stimuli with Target
15,Global Congruent,7,269,Global,Congruent,Congruent Stimuli with Target
15,Local Incongruent at 2,6,269,Local,Incongruent at 2,Congruent Stimuli with Target
15,Global Incongruent at 6,2,269,Global,Incongruent at 6,Congruent Stimuli with Target
15,Global Incongruent at 2,4,269,Global,Incongruent at 2,Congruent Stimuli with Target
15,Local Congruent,7,269,Local,Congruent,Congruent Stimuli with Target
15,Global Incongruent at 2,4,269,Global,Incongruent at 2,Congruent Stimuli with Target
15,Local Congruent,2,269,Local,Congruent,Congruent Stimuli with Target
17,Global Incongruent at 6,6,269,Global,Incongruent at 6,Incongruent Stimuli with Target
17,Local Incongruent at 2,5,269,Local,Incongruent at 2,Congruent Stimuli with Target
17,Local Incongruent at 2,6,269,Local,Incongruent at 2,Congruent Stimuli with Target
17,Local Congruent,6,269,Local,Congruent,Congruent Stimuli with Target
17,Local Congruent,6,269,Local,Congruent,Congruent Stimuli with Target
18,Global Incongruent at 6,7,269,Global,Incongruent at 6,Congruent Stimuli with Target
18,Local Incongruent at 6,6,269,Local,Incongruent at 6,Incongruent Stimuli with Target
19,Global Incongruent at 2,4,269,Global,Incongruent at 2,Congruent Stimuli with Target
19,Local Incongruent at 6,5,269,Local,Incongruent at 6,Congruent Stimuli with Target
19,Local Incongruent at 6,1,269,Local,Incongruent at 6,Congruent Stimuli with Target
20,Local Incongruent at 2,6,269,Local,Incongruent at 2,Congruent Stimuli with Target
21,Local Incongruent at 6,1,269,Local,Incongruent at 6,Congruent Stimuli with Target
22,Local Incongruent at 2,2,269,Local,Incongruent at 2,Incongruent Stimuli with Target
22,Global Incongruent at 2,5,269,Global,Incongruent at 2,Congruent Stimuli with Target
22,Local Congruent,2,269,Local,Congruent,Congruent Stimuli with Target
22,Global Incongruent at 2,6,269,Global,Incongruent at 2,Congruent Stimuli with Target
22,Local Incongruent at 2,7,269,Local,Incongruent at 2,Congruent Stimuli with Target
22,Global Incongruent at 6,4,269,Global,Incongruent at 6,Congruent Stimuli with Target
23,Local Incongruent at 2,4,269,Local,Incongruent at 2,Congruent Stimuli with Target
23,Local Incongruent at 6,6,269,Local,Incongruent at 6,Incongruent Stimuli with Target
23,Local Congruent,5,269,Local,Congruent,Congruent Stimuli with Target
23,Global Incongruent at 6,3,269,Global,Incongruent at 6,Congruent Stimuli with Target
23,Global Incongruent at 6,4,269,Global,Incongruent at 6,Congruent Stimuli with Target
23,Global Congruent,4,269,Global,Congruent,Congruent Stimuli with Target
23,Global Congruent,7,269,Global,Congruent,Congruent Stimuli with Target
24,Local Incongruent at 6,6,269,Local,Incongruent at 6,Incongruent Stimuli with Target
24,Local Incongruent at 2,6,269,Local,Incongruent at 2,Congruent Stimuli with Target
24,Global Congruent,5,269,Global,Congruent,Congruent Stimuli with Target
27,Global Congruent,6,269,Global,Congruent,Congruent Stimuli with Target
27,Global Congruent,2,269,Global,Congruent,Congruent Stimuli with Target
27,Local Incongruent at 2,3,269,Local,Incongruent at 2,Congruent Stimuli with Target
28,Global Incongruent at 2,5,269,Global,Incongruent at 2,Congruent Stimuli with Target
28,Local Incongruent at 2,1,269,Local,Incongruent at 2,Congruent Stimuli with Target
28,Local Incongruent at 6,5,269,Local,Incongruent at 6,Congruent Stimuli with Target
29,Local Congruent,6,269,Local,Congruent,Congruent Stimuli with Target
29,Local Incongruent at 2,4,269,Local,Incongruent at 2,Congruent Stimuli with Target
29,Local Incongruent at 6,4,269,Local,Incongruent at 6,Congruent Stimuli with Target
30,Local Congruent,4,269,Local,Congruent,Congruent Stimuli with Target
32,Local Incongruent at 6,7,269,Local,Incongruent at 6,Congruent Stimuli with Target
1,Global Congruent,7,270,Global,Congruent,Congruent Stimuli with Target
1,Local Congruent,6,270,Local,Congruent,Congruent Stimuli with Target
1,Local Incongruent at 6,3,270,Local,Incongruent at 6,Congruent Stimuli with Target
2,Local Incongruent at 2,4,270,Local,Incongruent at 2,Congruent Stimuli with Target
2,Local Incongruent at 2,1,270,Local,Incongruent at 2,Congruent Stimuli with Target
2,Local Congruent,5,270,Local,Congruent,Congruent Stimuli with Target
2,Global Incongruent at 6,7,270,Global,Incongruent at 6,Congruent Stimuli with Target
2,Local Incongruent at 2,4,270,Local,Incongruent at 2,Congruent Stimuli with Target
2,Global Congruent,3,270,Global,Congruent,Congruent Stimuli with Target
3,Local Congruent,7,270,Local,Congruent,Congruent Stimuli with Target
4,Global Congruent,5,270,Global,Congruent,Congruent Stimuli with Target
5,Local Incongruent at 6,3,270,Local,Incongruent at 6,Congruent Stimuli with Target
5,Global Congruent,5,270,Global,Congruent,Congruent Stimuli with Target
5,Local Incongruent at 6,6,270,Local,Incongruent at 6,Incongruent Stimuli with Target
5,Local Incongruent at 2,3,270,Local,Incongruent at 2,Congruent Stimuli with Target
6,Global Congruent,1,270,Global,Congruent,Congruent Stimuli with Target
6,Local Incongruent at 2,5,270,Local,Incongruent at 2,Congruent Stimuli with Target
6,Local Incongruent at 2,3,270,Local,Incongruent at 2,Congruent Stimuli with Target
6,Global Incongruent at 2,3,270,Global,Incongruent at 2,Congruent Stimuli with Target
6,Local Congruent,7,270,Local,Congruent,Congruent Stimuli with Target
6,Local Incongruent at 2,5,270,Local,Incongruent at 2,Congruent Stimuli with Target
6,Global Incongruent at 6,1,270,Global,Incongruent at 6,Congruent Stimuli with Target
8,Global Congruent,1,270,Global,Congruent,Congruent Stimuli with Target
9,Local Incongruent at 6,2,270,Local,Incongruent at 6,Congruent Stimuli with Target
9,Local Incongruent at 6,4,270,Local,Incongruent at 6,Congruent Stimuli with Target
10,Global Incongruent at 6,6,270,Global,Incongruent at 6,Incongruent Stimuli with Target
10,Global Congruent,7,270,Global,Congruent,Congruent Stimuli with Target
10,Local Congruent,7,270,Local,Congruent,Congruent Stimuli with Target
10,Local Incongruent at 2,6,270,Local,Incongruent at 2,Congruent Stimuli with Target
10,Global Incongruent at 2,3,270,Global,Incongruent at 2,Congruent Stimuli with Target
11,Local Incongruent at 6,4,270,Local,Incongruent at 6,Congruent Stimuli with Target
11,Local Incongruent at 2,5,270,Local,Incongruent at 2,Congruent Stimuli with Target
11,Global Congruent,6,270,Global,Congruent,Congruent Stimuli with Target
12,Local Incongruent at 2,6,270,Local,Incongruent at 2,Congruent Stimuli with Target
12,Global Incongruent at 6,2,270,Global,Incongruent at 6,Congruent Stimuli with Target
12,Local Congruent,3,270,Local,Congruent,Congruent Stimuli with Target
13,Local Incongruent at 6,3,270,Local,Incongruent at 6,Congruent Stimuli with Target
13,Global Incongruent at 6,1,270,Global,Incongruent at 6,Congruent Stimuli with Target
13,Global Congruent,3,270,Global,Congruent,Congruent Stimuli with Target
13,Global Incongruent at 2,2,270,Global,Incongruent at 2,Incongruent Stimuli with Target
15,Global Congruent,4,270,Global,Congruent,Congruent Stimuli with Target
17,Global Incongruent at 2,6,270,Global,Incongruent at 2,Congruent Stimuli with Target
17,Local Incongruent at 2,5,270,Local,Incongruent at 2,Congruent Stimuli with Target
17,Local Congruent,5,270,Local,Congruent,Congruent Stimuli with Target
17,Local Incongruent at 6,4,270,Local,Incongruent at 6,Congruent Stimuli with Target
17,Local Congruent,2,270,Local,Congruent,Congruent Stimuli with Target
17,Local Incongruent at 2,6,270,Local,Incongruent at 2,Congruent Stimuli with Target
18,Local Congruent,4,270,Local,Congruent,Congruent Stimuli with Target
18,Local Congruent,7,270,Local,Congruent,Congruent Stimuli with Target
18,Local Incongruent at 6,4,270,Local,Incongruent at 6,Congruent Stimuli with Target
19,Global Incongruent at 2,3,270,Global,Incongruent at 2,Congruent Stimuli with Target
20,Global Congruent,6,270,Global,Congruent,Congruent Stimuli with Target
20,Global Congruent,5,270,Global,Congruent,Congruent Stimuli with Target
21,Local Congruent,7,270,Local,Congruent,Congruent Stimuli with Target
21,Local Incongruent at 2,5,270,Local,Incongruent at 2,Congruent Stimuli with Target
21,Local Congruent,7,270,Local,Congruent,Congruent Stimuli with Target
22,Global Incongruent at 6,7,270,Global,Incongruent at 6,Congruent Stimuli with Target
22,Local Incongruent at 6,7,270,Local,Incongruent at 6,Congruent Stimuli with Target
23,Local Incongruent at 2,7,270,Local,Incongruent at 2,Congruent Stimuli with Target
23,Local Congruent,7,270,Local,Congruent,Congruent Stimuli with Target
23,Local Congruent,4,270,Local,Congruent,Congruent Stimuli with Target
23,Local Incongruent at 2,4,270,Local,Incongruent at 2,Congruent Stimuli with Target
23,Global Incongruent at 6,7,270,Global,Incongruent at 6,Congruent Stimuli with Target
23,Local Congruent,4,270,Local,Congruent,Congruent Stimuli with Target
24,Global Incongruent at 2,4,270,Global,Incongruent at 2,Congruent Stimuli with Target
24,Global Congruent,7,270,Global,Congruent,Congruent Stimuli with Target
24,Global Incongruent at 6,4,270,Global,Incongruent at 6,Congruent Stimuli with Target
24,Global Congruent,4,270,Global,Congruent,Congruent Stimuli with Target
24,Local Congruent,2,270,Local,Congruent,Congruent Stimuli with Target
27,Global Incongruent at 6,5,270,Global,Incongruent at 6,Congruent Stimuli with Target
27,Local Incongruent at 2,4,270,Local,Incongruent at 2,Congruent Stimuli with Target
27,Local Incongruent at 2,4,270,Local,Incongruent at 2,Congruent Stimuli with Target
28,Global Congruent,3,270,Global,Congruent,Congruent Stimuli with Target
29,Global Incongruent at 6,5,270,Global,Incongruent at 6,Congruent Stimuli with Target
29,Global Congruent,1,270,Global,Congruent,Congruent Stimuli with Target
30,Global Incongruent at 2,7,270,Global,Incongruent at 2,Congruent Stimuli with Target
32,Global Incongruent at 6,3,270,Global,Incongruent at 6,Congruent Stimuli with Target
32,Global Congruent,4,270,Global,Congruent,Congruent Stimuli with Target
34,Global Incongruent at 2,7,270,Global,Incongruent at 2,Congruent Stimuli with Target
34,Local Congruent,6,270,Local,Congruent,Congruent Stimuli with Target
34,Global Incongruent at 6,4,270,Global,Incongruent at 6,Congruent Stimuli with Target
35,Global Incongruent at 2,7,270,Global,Incongruent at 2,Congruent Stimuli with Target
35,Local Congruent,4,270,Local,Congruent,Congruent Stimuli with Target
37,Local Incongruent at 6,2,270,Local,Incongruent at 6,Congruent Stimuli with Target
37,Local Congruent,7,270,Local,Congruent,Congruent Stimuli with Target
37,Global Congruent,5,270,Global,Congruent,Congruent Stimuli with Target
1,Global Incongruent at 6,1,271,Global,Incongruent at 6,Congruent Stimuli with Target
2,Global Incongruent at 6,6,271,Global,Incongruent at 6,Incongruent Stimuli with Target
2,Global Incongruent at 6,6,271,Global,Incongruent at 6,Incongruent Stimuli with Target
4,Global Incongruent at 2,3,271,Global,Incongruent at 2,Congruent Stimuli with Target
5,Local Incongruent at 6,4,271,Local,Incongruent at 6,Congruent Stimuli with Target
5,Global Congruent,3,271,Global,Congruent,Congruent Stimuli with Target
5,Global Incongruent at 2,3,271,Global,Incongruent at 2,Congruent Stimuli with Target
5,Local Incongruent at 2,2,271,Local,Incongruent at 2,Incongruent Stimuli with Target
5,Local Incongruent at 2,6,271,Local,Incongruent at 2,Congruent Stimuli with Target
5,Global Incongruent at 2,1,271,Global,Incongruent at 2,Congruent Stimuli with Target
5,Global Incongruent at 2,2,271,Global,Incongruent at 2,Incongruent Stimuli with Target
5,Global Incongruent at 2,6,271,Global,Incongruent at 2,Congruent Stimuli with Target
6,Global Incongruent at 2,7,271,Global,Incongruent at 2,Congruent Stimuli with Target
6,Local Incongruent at 6,6,271,Local,Incongruent at 6,Incongruent Stimuli with Target
6,Local Incongruent at 6,1,271,Local,Incongruent at 6,Congruent Stimuli with Target
6,Local Congruent,3,271,Local,Congruent,Congruent Stimuli with Target
6,Local Incongruent at 2,6,271,Local,Incongruent at 2,Congruent Stimuli with Target
6,Global Incongruent at 2,1,271,Global,Incongruent at 2,Congruent Stimuli with Target
6,Local Incongruent at 2,3,271,Local,Incongruent at 2,Congruent Stimuli with Target
7,Global Incongruent at 6,6,271,Global,Incongruent at 6,Incongruent Stimuli with Target
8,Global Incongruent at 2,4,271,Global,Incongruent at 2,Congruent Stimuli with Target
9,Local Incongruent at 2,4,271,Local,Incongruent at 2,Congruent Stimuli with Target
10,Global Congruent,2,271,Global,Congruent,Congruent Stimuli with Target
10,Local Incongruent at 6,2,271,Local,Incongruent at 6,Congruent Stimuli with Target
