ID,Condition,RunPosition,Globality,StimuliType,RunType,Critdatpoint,RT_Mu,RT_Sigma,RT_n,RT_SE
5,Global Incongruent at 2,3,Global,Congruent Stimuli with Target,Incongruent at 2,Non-critical,305.15,79.07975654196744,20,17.682771127197288
5,Global Incongruent at 2,4,Global,Congruent Stimuli with Target,Incongruent at 2,Non-critical,306.15,63.94757309908764,20,14.299112044569686
5,Global Incongruent at 2,5,Global,Congruent Stimuli with Target,Incongruent at 2,Non-critical,283.5,84.26056079366644,20,18.841234175689177
5,Global Incongruent at 2,6,Global,Congruent Stimuli with Target,Incongruent at 2,Non-critical,329.05,85.89251238734681,20,19.206149645635023
5,Global Incongruent at 2,7,Global,Congruent Stimuli with Target,Incongruent at 2,Non-critical,290.55,98.12906377773477,20,21.942325717542726
5,Global Incongruent at 6,1,Global,Congruent Stimuli with Target,Incongruent at 6,Non-critical,366.1,73.11699348880605,20,16.34945677513798
5,Global Incongruent at 6,2,Global,Congruent Stimuli with Target,Incongruent at 6,Non-critical,300.6,85.25589962608237,20,19.063798704681908
5,Global Incongruent at 6,3,Global,Congruent Stimuli with Target,Incongruent at 6,Non-critical,298.15,81.437916295337,20,18.210071678231138
5,Global Incongruent at 6,4,Global,Congruent Stimuli with Target,Incongruent at 6,Non-critical,313.2,72.35119029319493,20,16.17821797486068
5,Global Incongruent at 6,5,Global,Congruent Stimuli with Target,Incongruent at 6,Non-critical,296.7,80.67093652611206,20,18.038569788095728
5,Global Incongruent at 6,6,Global,Incongruent Stimuli with Target,Incongruent at 6,Critical,305.8421052631579,93.79188732856893,19,21.517334662588684
5,Global Incongruent at 6,7,Global,Congruent Stimuli with Target,Incongruent at 6,Non-critical,319.9,90.86247560838419,20,20.31746720642636
5,Local Congruent,1,Local,Congruent Stimuli with Target,Congruent,Non-critical,433.9,126.91518095915373,20,28.37909720013547
5,Local Congruent,2,Local,Congruent Stimuli with Target,Congruent,Critical,321.9,76.49692116267438,20,17.105231578918215
5,Local Congruent,3,Local,Congruent Stimuli with Target,Congruent,Non-critical,320.3,65.9761519912987,20,14.752716074640201
5,Local Congruent,4,Local,Congruent Stimuli with Target,Congruent,Non-critical,346.15,141.87922031747544,20,31.725158122454438
5,Local Congruent,5,Local,Congruent Stimuli with Target,Congruent,Non-critical,332.05,75.05119305479006,20,16.78195694629707
5,Local Congruent,6,Local,Congruent Stimuli with Target,Congruent,Critical,354.1,71.23415798026882,20,15.92844195638402
5,Local Congruent,7,Local,Congruent Stimuli with Target,Congruent,Non-critical,317,85.66888521941232,20,19.156145090723292
5,Local Incongruent at 2,1,Local,Congruent Stimuli with Target,Incongruent at 2,Non-critical,401.7,70.25449976223662,20,15.709383719360389
5,Local Incongruent at 2,2,Local,Incongruent Stimuli with Target,Incongruent at 2,Critical,346.05,131.02409380680615,20,29.297878044232775
5,Local Incongruent at 2,3,Local,Congruent Stimuli with Target,Incongruent at 2,Non-critical,332.85,81.77843944399243,20,18.286214969061717
