ID,Condition,RunPosition,RT,Globality,RunType,StimuliType
37,Global Congruent,6,64,Global,Congruent,Congruent Stimuli with Target
4,Local Congruent,6,65,Local,Congruent,Congruent Stimuli with Target
4,Global Incongruent at 2,2,65,Global,Incongruent at 2,Incongruent Stimuli with Target
24,Global Congruent,6,65,Global,Congruent,Congruent Stimuli with Target
9,Local Incongruent at 2,2,66,Local,Incongruent at 2,Incongruent Stimuli with Target
21,Local Incongruent at 6,6,66,Local,Incongruent at 6,Incongruent Stimuli with Target
24,Local Incongruent at 6,6,66,Local,Incongruent at 6,Incongruent Stimuli with Target
37,Global Incongruent at 6,6,66,Global,Incongruent at 6,Incongruent Stimuli with Target
37,Local Congruent,6,66,Local,Congruent,Congruent Stimuli with Target
4,Local Incongruent at 2,2,67,Local,Incongruent at 2,Incongruent Stimuli with Target
9,Local Congruent,6,67,Local,Congruent,Congruent Stimuli with Target
13,Global Congruent,6,67,Global,Congruent,Congruent Stimuli with Target
4,Local Incongruent at 6,6,68,Local,Incongruent at 6,Incongruent Stimuli with Target
4,Global Incongruent at 6,6,68,Global,Incongruent at 6,Incongruent Stimuli with Target
4,Local Congruent,2,68,Local,Congruent,Congruent Stimuli with Target
4,Global Congruent,6,68,Global,Congruent,Congruent Stimuli with Target
6,Global Incongruent at 6,6,68,Global,Incongruent at 6,Incongruent Stimuli with Target
29,Local Incongruent at 6,6,69,Local,Incongruent at 6,Incongruent Stimuli with Target
37,Global Incongruent at 6,6,69,Global,Incongruent at 6,Incongruent Stimuli with Target
4,Global Congruent,2,70,Global,Congruent,Congruent Stimuli with Target
10,Global Incongruent at 2,2,70,Global,Incongruent at 2,Incongruent Stimuli with Target
15,Global Incongruent at 6,6,70,Global,Incongruent at 6,Incongruent Stimuli with Target
22,Global Congruent,6,70,Global,Congruent,Congruent Stimuli with Target
23,Global Incongruent at 2,2,70,Global,Incongruent at 2,Incongruent Stimuli with Target
28,Global Incongruent at 6,6,70,Global,Incongruent at 6,Incongruent Stimuli with Target
32,Local Incongruent at 6,6,70,Local,Incongruent at 6,Incongruent Stimuli with Target
4,Local Incongruent at 6,6,71,Local,Incongruent at 6,Incongruent Stimuli with Target
4,Local Congruent,6,71,Local,Congruent,Congruent Stimuli with Target
19,Global Incongruent at 2,2,71,Global,Incongruent at 2,Incongruent Stimuli with Target
32,Global Congruent,6,71,Global,Congruent,Congruent Stimuli with Target
3,Global Incongruent at 6,6,72,Global,Incongruent at 6,Incongruent Stimuli with Target
4,Global Congruent,2,72,Global,Congruent,Congruent Stimuli with Target
4,Local Incongruent at 6,6,72,Local,Incongruent at 6,Incongruent Stimuli with Target
19,Local Congruent,6,72,Local,Congruent,Congruent Stimuli with Target
32,Local Incongruent at 2,2,72,Local,Incongruent at 2,Incongruent Stimuli with Target
37,Global Incongruent at 6,6,72,Global,Incongruent at 6,Incongruent Stimuli with Target
2,Global Congruent,6,73,Global,Congruent,Congruent Stimuli with Target
4,Global Incongruent at 6,6,73,Global,Incongruent at 6,Incongruent Stimuli with Target
32,Global Incongruent at 6,6,73,Global,Incongruent at 6,Incongruent Stimuli with Target
4,Local Incongruent at 2,2,74,Local,Incongruent at 2,Incongruent Stimuli with Target
4,Global Congruent,6,74,Global,Congruent,Congruent Stimuli with Target
19,Global Congruent,6,74,Global,Congruent,Congruent Stimuli with Target
19,Global Congruent,6,74,Global,Congruent,Congruent Stimuli with Target
32,Global Incongruent at 6,6,75,Global,Incongruent at 6,Incongruent Stimuli with Target
4,Global Incongruent at 2,2,76,Global,Incongruent at 2,Incongruent Stimuli with Target
28,Global Congruent,2,76,Global,Congruent,Congruent Stimuli with Target
34,Global Incongruent at 2,2,76,Global,Incongruent at 2,Incongruent Stimuli with Target
37,Local Congruent,2,76,Local,Congruent,Congruent Stimuli with Target
4,Global Congruent,6,77,Global,Congruent,Congruent Stimuli with Target
4,Local Incongruent at 2,2,77,Local,Incongruent at 2,Incongruent Stimuli with Target
4,Local Congruent,6,77,Local,Congruent,Congruent Stimuli with Target
22,Local Congruent,6,77,Local,Congruent,Congruent Stimuli with Target
28,Local Incongruent at 2,2,77,Local,Incongruent at 2,Incongruent Stimuli with Target
32,Global Congruent,6,77,Global,Congruent,Congruent Stimuli with Target
2,Local Incongruent at 6,6,78,Local,Incongruent at 6,Incongruent Stimuli with Target
3,Local Congruent,2,78,Local,Congruent,Congruent Stimuli with Target
3,Local Incongruent at 2,2,78,Local,Incongruent at 2,Incongruent Stimuli with Target
22,Global Incongruent at 2,2,78,Global,Incongruent at 2,Incongruent Stimuli with Target
32,Global Incongruent at 2,2,78,Global,Incongruent at 2,Incongruent Stimuli with Target
32,Global Incongruent at 6,6,78,Global,Incongruent at 6,Incongruent Stimuli with Target
